Team,Group_Stage_Exit,Reached_R32,Reached_R16,Reached_QF,Reached_SF,Reached_Final,Won_World_Cup
Argentina,5.4,27.6,17.9,15.2,12.4,9.0,12.5
Spain,5.5,34.599999999999994,19.2,12.6,9.0,7.1,12.0
England,4.9,26.900000000000002,22.400000000000002,17.1,10.4,8.7,9.6
France,9.3,28.199999999999996,20.599999999999998,13.3,11.200000000000001,7.9,9.5
Portugal,11.3,29.7,18.9,14.899999999999999,10.9,6.9,7.3999999999999995
Morocco,10.9,35.0,20.7,15.6,6.9,4.5,6.4
Germany,11.600000000000001,30.0,25.900000000000002,12.8,9.0,5.800000000000001,4.9
Brazil,12.2,36.6,18.7,15.0,8.0,4.8,4.7
Belgium,7.3,32.300000000000004,26.6,16.6,8.799999999999999,3.9,4.5
Netherlands,8.9,37.8,18.0,16.3,10.5,4.1000000000000005,4.3999999999999995
Croatia,13.4,41.6,19.0,13.0,7.000000000000001,2.9000000000000004,3.1
Colombia,14.6,38.7,19.0,13.200000000000001,8.1,3.5000000000000004,2.9000000000000004
Ecuador,21.8,34.699999999999996,24.8,9.700000000000001,5.1,2.0,1.9
Senegal,15.9,34.9,22.0,15.8,7.000000000000001,2.6,1.7999999999999998
USA,16.1,38.1,25.2,12.8,4.8,1.7000000000000002,1.3
Cote Divoire,20.9,38.7,23.5,10.0,4.0,1.7000000000000002,1.2
Czechia,24.6,36.9,23.1,8.9,3.5999999999999996,1.7000000000000002,1.2
Japan,14.799999999999999,45.7,20.200000000000003,11.600000000000001,4.6,2.0,1.0999999999999999
Turkiye,20.200000000000003,41.9,23.3,7.7,4.2,1.6,1.0999999999999999
South Korea,16.7,36.199999999999996,29.299999999999997,10.5,4.5,1.7000000000000002,1.0999999999999999
Austria,21.5,41.5,19.900000000000002,10.5,4.0,1.6,1.0
Norway,29.799999999999997,34.2,19.400000000000002,9.5,4.6,1.6,0.8999999999999999
DR Congo,43.7,33.1,13.600000000000001,4.6,3.4000000000000004,1.0,0.6
Sweden,28.1,41.699999999999996,16.7,8.6,3.2,1.0999999999999999,0.6
Egypt,23.200000000000003,37.3,24.8,8.6,4.5,1.0999999999999999,0.5
Bosnia,40.2,36.4,15.7,4.9,1.7999999999999998,0.5,0.5
Iran,19.7,37.1,27.500000000000004,9.700000000000001,4.3999999999999995,1.2,0.4
Australia,32.4,40.300000000000004,17.1,7.199999999999999,2.3,0.3,0.4
Algeria,32.1,38.800000000000004,15.8,8.6,2.9000000000000004,1.4000000000000001,0.4
Switzerland,15.1,48.1,24.6,8.3,2.6,0.8999999999999999,0.4
Mexico,18.8,37.1,28.199999999999996,10.8,3.1,1.6,0.4
Canada,20.3,49.3,21.5,6.2,1.9,0.5,0.3
Uzbekistan,57.599999999999994,28.1,9.0,2.8000000000000003,1.7999999999999998,0.4,0.3
Paraguay,61.4,24.2,10.4,2.9000000000000004,0.6,0.3,0.2
Uruguay,18.099999999999998,51.1,17.1,8.9,3.5999999999999996,1.0,0.2
Haiti,73.1,20.3,4.8,1.5,0.1,0.1,0.1
Saudi Arabia,60.099999999999994,30.9,6.800000000000001,1.5,0.5,0.1,0.1
Scotland,38.4,40.400000000000006,12.7,6.2,1.7000000000000002,0.5,0.1
Curacao,74.0,20.3,4.3,1.2,0.1,0.1,0.0
Cape Verde,58.8,30.3,8.200000000000001,2.1999999999999997,0.5,0.0,0.0
Panama,46.6,38.7,9.8,3.9,0.8,0.2,0.0
New Zealand,80.2,14.299999999999999,4.3,1.0,0.1,0.1,0.0
Jordan,72.6,19.5,5.8999999999999995,1.4000000000000001,0.4,0.2,0.0
Iraq,73.4,18.9,5.1,1.7999999999999998,0.7000000000000001,0.1,0.0
Ghana,78.60000000000001,18.0,2.7,0.6,0.1,0.0,0.0
Qatar,64.5,27.3,6.3,1.7000000000000002,0.2,0.0,0.0
South Africa,73.6,19.7,5.6000000000000005,1.0,0.1,0.0,0.0
Tunisia,77.8,17.0,3.9,1.3,0.0,0.0,0.0
